nombre producto,precio,link,categoria,fecha
Carpa Aucar 200 HangPro Tent Naranjo Lippi,CLP 94.990,https://www.lippioutdoor.com/7563-carpa-aucar-200-hangpro-tent-naranjo.html,equipamiento,2022-08-15
Carpa Roca 3 Tent Gris Claro Lippi,CLP 184.990,https://www.lippioutdoor.com/carpa-roca-3-tent-gris-claro-lippi-v22.html,equipamiento,2022-08-15
Carpa Xperience 2 Tent Rojo Lippi,CLP 99.990,https://www.lippioutdoor.com/carpa-xperience-2-tent-rojo-lippi-v22.html,equipamiento,2022-08-15
Carpa Xperience 3 Tent Rojo Lippi,CLP 119.990,https://www.lippioutdoor.com/carpa-xperience-3-tent-rojo-lippi-v22.html,equipamiento,2022-08-15
Mini X-Perience 0 Steam-Pro Sleeping Bag Morado Lippi,CLP 34.990,https://www.lippioutdoor.com/2116-mini-x-perience-0-steam-pro-sleeping-bag.html,equipamiento,2022-08-15
Mochila R-Bags 22 Lts Mostaza I20 Lippi,CLP 49.990,https://www.lippioutdoor.com/7708-mochila-r-bags-22-lts-mostaza-i20.html,equipamiento,2022-08-15
Banano Frontera 2L Negro Lippi,CLP 15.990,https://www.lippioutdoor.com/banano-frontera-2l-negro-v20.html,equipamiento,2022-08-15
Mini X-Perience 0 Steam-Pro Sleeping Bag Azul Lippi,CLP 34.990,https://www.lippioutdoor.com/2116-mini-x-perience-0-steam-pro-sleeping-bag-1.html,equipamiento,2022-08-15
Roca 3 Footprint Lippi,CLP 19.990,https://www.lippioutdoor.com/2106-roca-3-footprint.html,equipamiento,2022-08-15
Mochila Roca 35 Negro Lippi,CLP 104.990,https://www.lippioutdoor.com/7486-mochila-roca-35-negro.html,equipamiento,2022-08-15
Set de estacas (6 unidades),CLP 9.990,https://www.lippioutdoor.com/2109-set-de-estacas-6-unidades.html,equipamiento,2022-08-15
Mochila R-Bags 28 Lts Burdeo I20 Lippi,CLP 59.990,https://www.lippioutdoor.com/7712-mochila-r-bags-28-lts-burdeo-i20.html,equipamiento,2022-08-15
Carpa Sunset 4 Amarilla Lippi,CLP 299.990,https://www.lippioutdoor.com/7565-carpa-sunset-4-amarilla.html,equipamiento,2022-08-15
Mochila Unisex B-Light 10 Backpack Verde Militar 10 Lts Lippi,CLP 19.990,https://www.lippioutdoor.com/mochila-unisex-b-light-10-backpack-verde-militar-10-lts-lippi-v22.html,equipamiento,2022-08-15
Varilla de repuesto Carpa Roca 1 Roja Lippi,CLP 24.990,https://www.lippioutdoor.com/varilla-de-repuesto-carpa-roca-1-roja-v19.html,equipamiento,2022-08-15
Roca -7 Down Sleeping Bag Lippi,CLP 179.990,https://www.lippioutdoor.com/2111-roca-7-down-sleeping-bag.html,equipamiento,2022-08-15
Mochila Roca 50 Backpack Negro V20 Lippi,CLP 129.990,https://www.lippioutdoor.com/7496-mochila-roca-50-backpack-negro-v20.html,equipamiento,2022-08-15
Colchonetas Unisex Corus Diamond Amarilo Lippi,CLP 59.990,https://www.lippioutdoor.com/colchonetas-unisex-corus-diamond-amarilo-lippi-v22.html,equipamiento,2022-08-15
Saco de dormir Sunset Steam-Pro Sleeping Bag 5 Azul / Rojo Lippi,CLP 54.990,https://www.lippioutdoor.com/7488-saco-de-dormir-sunset-steam-pro-sleeping-bag-5-azul-rojo.html,equipamiento,2022-08-15
Cubre Mochilas Travel Fox Cover All Negro V20 Lippi,CLP 9.990,https://www.lippioutdoor.com/7635-bolsos-travel-fox-cover-all-negro-v20.html,equipamiento,2022-08-15
