nombre producto,precio,link,categoria,fecha
Banano Lumbar Pack,$39.990,https://www.thenorthface.cl/banano-lumbar-pack-nf0a3ky6-nf28h,equipamiento,2022-08-15
Banano Lumbar Pack,$39.990,https://www.thenorthface.cl/banano-lumbar-pack-nf0a3ky6-nf1q6,equipamiento,2022-08-15
Banano Lumbnical - Small,$39.990,https://www.thenorthface.cl/banano-lumbnical-small-nf0a3s7z-nfy32,equipamiento,2022-08-15
Bolso Base Camp Duffel - Extra Small,$99.990,https://www.thenorthface.cl/bolso-base-camp-duffel-extra-small-nf0a52ss-nfkz3,equipamiento,2022-08-15
Bolso Base Camp Duffel - Extra Small,$99.990,https://www.thenorthface.cl/bolso-base-camp-duffel-extra-small-nf0a52ss-nf5hd,equipamiento,2022-08-15
Mochila Borealis,$109.990,https://www.thenorthface.cl/mochila-borealis-nf0a52se-nfkz3,equipamiento,2022-08-15
Mochila Borealis,$109.990,https://www.thenorthface.cl/mochila-borealis-nf0a52se-nf4d0,equipamiento,2022-08-15
Mochila Borealis Mujer,$109.990,https://www.thenorthface.cl/mochila-borealis-mujer-nf0a52si-nf61v,equipamiento,2022-08-15
Mochila Borealis Mujer,$109.990,https://www.thenorthface.cl/mochila-borealis-mujer-nf0a52si-nf212,equipamiento,2022-08-15
Mochila Borealis Mujer,$109.990,https://www.thenorthface.cl/mochila-borealis-mujer-nf0a52si-nfep4,equipamiento,2022-08-15
Mochila Borealis Mujer,$109.990,https://www.thenorthface.cl/mochila-borealis-mujer-nf0a52si-nfwbw,equipamiento,2022-08-15
Mochila Borealis Mujer,$109.990,https://www.thenorthface.cl/mochila-borealis-mujer-nf0a52si-nf1x6,equipamiento,2022-08-15
Mochila Borealis Mujer,$109.990,https://www.thenorthface.cl/mochila-borealis-mujer-nf0a52si-nf5y5,equipamiento,2022-08-15
Mochila Borealis Unisex,$109.990,https://www.thenorthface.cl/mochila-borealis-unisex-nf0a52se-nf210,equipamiento,2022-08-15
