nombre producto,precio,link,categoria,fecha
Chaqueta Stretch Down Mujer,$249.990,https://www.thenorthface.cl/chaqueta-stretch-down-mujer-nf0a4p6i-nfrg1,mujer,2022-08-15
Chaqueta Stretch Down Mujer,$249.990,https://www.thenorthface.cl/chaqueta-stretch-down-mujer-nf0a4p6i-nfjk3,mujer,2022-08-15
Chaqueta Stretch Down Mujer,$249.990,https://www.thenorthface.cl/chaqueta-stretch-down-mujer-nf0a4p6i-nf3x3,mujer,2022-08-15
Chaqueta Stretch Down Mujer,$249.990,https://www.thenorthface.cl/chaqueta-stretch-down-mujer-nf0a4p6i-nfhcz,mujer,2022-08-15
Zapato Vectiv Exploris Mid Futurelight Cuero Mujer,$169.990,https://www.thenorthface.cl/zapato-vectiv-exploris-mid-futurelight-cuero-mujer-nf0a5g3a-nfmd0,mujer,2022-08-15
Zapatilla Vectiv Exploris Futurelight Mujer,$149.990,https://www.thenorthface.cl/zapatilla-vectiv-exploris-futurelight-mujer-nf0a4t2x-nf32w,mujer,2022-08-15
Women’S Dryzzle Futurelight™ Jacket,$229.990,https://www.thenorthface.cl/women-s-dryzzle-futurelight-jacket-nf0a4ahu-nfjk3,mujer,2022-08-15
Women’S Dryzzle Futurelight™ Jacket,$229.990,https://www.thenorthface.cl/women-s-dryzzle-futurelight-jacket-nf0a4ahu-nfbh7,mujer,2022-08-15
Chaqueta Venture 2 Mujer,$99.990,https://www.thenorthface.cl/chaqueta-venture-2-mujer-nf0a2vcr-nfm19,mujer,2022-08-15
Women'S Summit L5 Futurelight™ Jacket,$529.990,https://www.thenorthface.cl/women-s-summit-l5-futurelight-jacket-nf0a3spl-nffh1,mujer,2022-08-15
Chaqueta Tamburello Parka Mujer,$149.990,https://www.thenorthface.cl/chaqueta-tamburello-parka-mujer-nf0a5gdx-nfjk3,mujer,2022-08-15
Chaqueta Tamburello Parka Mujer,$149.990,https://www.thenorthface.cl/chaqueta-tamburello-parka-mujer-nf0a5gdx-nf174,mujer,2022-08-15
Chaqueta Tamburello Parka Mujer,$149.990,https://www.thenorthface.cl/chaqueta-tamburello-parka-mujer-nf0a5gdx-nf21l,mujer,2022-08-15
W Glacier 1/4 Zip,$59.990,https://www.thenorthface.cl/w-glacier-1-4-zip-nf0a2red-nfjk3,mujer,2022-08-15
Polar Tka Glacier 1/4 Zip Mujer,$59.990,https://www.thenorthface.cl/polar-tka-glacier-1-4-zip-mujer-nf0a48kk-nfkx7,mujer,2022-08-15
